ReporterName	ReporterDatabaseEntry
1553126_PM_a_at	NM_152725
1553127_PM_a_at	BC033791
1553129_PM_at	NM_024500
1553130_PM_at	NM_152340
1553131_PM_a_at	D78260
1553132_PM_a_at	NM_152332
1553133_PM_at	BC020851
1553134_PM_s_at	BC020851
1553136_PM_at	NM_152387
1553137_PM_s_at	AF028008
1553138_PM_a_at	NM_152363
1553139_PM_s_at	NM_017514
1553140_PM_at	NM_014100
1553141_PM_at	BC035749
1553142_PM_at	NM_153218
1553145_PM_at	BC010030
1553146_PM_at	NM_152539
1553147_PM_at	NM_145000
1553148_PM_a_at	R75838
1553150_PM_at	NM_153042
1553151_PM_at	AY079172
1553153_PM_at	NM_152565
1553155_PM_x_at	NM_152565
1553156_PM_at	AB055704
1553157_PM_at	AB055703
1553158_PM_at	AY099509
1553159_PM_at	NM_003777
1553162_PM_x_at	NM_144692
1553163_PM_at	NM_138430
1553165_PM_at	NM_080551
1553166_PM_at	NM_144985
1553167_PM_a_at	BC023539
1553168_PM_at	NM_002088
1553169_PM_at	BC019612
1553171_PM_x_at	BC019612
1553172_PM_at	NM_015694
1553174_PM_at	NM_020433
1553175_PM_s_at	AB015656
1553176_PM_at	AF403479
1553177_PM_at	BC022407
1553178_PM_a_at	NM_001051
1553179_PM_at	NM_133638
1553180_PM_at	NM_133638
1553181_PM_at	NM_138620
1553183_PM_at	NM_173568
1553185_PM_at	NM_152573
1553186_PM_x_at	NM_152573
1553188_PM_s_at	AF428251
1553190_PM_s_at	AB092439
1553191_PM_at	NM_020388
1553192_PM_at	NM_152355
1553193_PM_at	NM_152355
1553194_PM_at	NM_173808
1553196_PM_a_at	AY043466
1553197_PM_at	NM_152418
1553199_PM_at	AA583332
1553202_PM_at	NM_152709
1553204_PM_at	NM_152757
1553205_PM_at	AL832097
1553207_PM_at	NM_173664
1553208_PM_s_at	NM_173664
1553209_PM_at	NM_032814
1553211_PM_at	NM_153228
1553212_PM_at	NM_173352
1553213_PM_a_at	NM_173352
1553214_PM_a_at	NM_145023
1553215_PM_s_at	NM_145023
1553216_PM_at	NM_007130
1553217_PM_s_at	NM_007130
1553218_PM_a_at	NM_032434
1553219_PM_a_at	NM_015365
1553220_PM_at	NM_173511
1553221_PM_at	NM_152478
1553222_PM_at	AB083055
1553224_PM_at	NM_033631
1553225_PM_s_at	NM_007131
1553226_PM_at	NM_152454
1553227_PM_s_at	NM_018963
1553228_PM_at	NM_152723
1553229_PM_at	NM_152412
1553232_PM_at	NM_144713
1553234_PM_at	NM_139054
1553235_PM_at	NM_031882
1553237_PM_x_at	NM_031882
1553238_PM_a_at	NM_144685
1553239_PM_at	NM_145019
1553241_PM_at	NM_173688
1553243_PM_at	NM_032817
1553244_PM_at	NM_152633
1553246_PM_a_at	NM_032237
1553247_PM_a_at	NM_152601
1553248_PM_at	NM_152675
1553249_PM_at	NM_148674
1553252_PM_a_at	NM_153252
1553253_PM_at	NM_080863
1553254_PM_at	NM_138703
1553255_PM_at	NM_152473
1553257_PM_at	AY026481
1553258_PM_at	NM_153017
1553260_PM_s_at	NM_152525
1553261_PM_x_at	NM_152525
1553262_PM_a_at	NM_018949
1553263_PM_at	NM_173477
1553264_PM_a_at	NM_006950
1553265_PM_at	NM_144712
1553266_PM_at	NM_144571
1553267_PM_a_at	NM_144571
1553268_PM_at	NM_138328
1553269_PM_at	CA411757
1553271_PM_at	NM_173602
1553272_PM_at	NM_078483
1553274_PM_a_at	NM_152551
1553275_PM_s_at	NM_173594
1553276_PM_at	NM_152476
1553277_PM_at	NM_173630
1553279_PM_at	NM_152547
1553280_PM_at	NM_144709
1553281_PM_at	NM_153268
1553282_PM_at	NM_152507
1553284_PM_s_at	NM_033029
1553285_PM_s_at	NM_152442
1553286_PM_at	NM_152791
1553288_PM_a_at	NM_173564
1553292_PM_s_at	NM_144610
1553293_PM_at	NM_054031
1553295_PM_at	NM_152555
1553296_PM_at	NM_032787
1553297_PM_a_at	NM_172313
1553298_PM_at	NM_152460
1553299_PM_at	NM_152664
1553300_PM_a_at	NM_152910
1553301_PM_a_at	NM_144632
1553303_PM_at	NM_152337
1553304_PM_at	NM_144703
1553306_PM_at	NM_033358
1553310_PM_at	NM_153021
1553311_PM_at	NM_173644
1553313_PM_s_at	NM_006933
1553314_PM_a_at	NM_153209
1553315_PM_at	NM_144990
1553316_PM_at	NM_080817
1553317_PM_s_at	AL832460
1553318_PM_at	NM_144968
1553319_PM_at	AF370886
1553320_PM_s_at	NM_152627
1553321_PM_a_at	NM_006588
1553322_PM_s_at	NM_021961
1553323_PM_a_at	AF411819
1553325_PM_at	BC029532
1553326_PM_at	AF453828
1553327_PM_a_at	NM_152751
1553328_PM_a_at	NM_003054
1553329_PM_at	BC017587
1553330_PM_at	NM_145268
1553333_PM_at	NM_152367
1553335_PM_x_at	NM_173669
1553336_PM_a_at	NM_152622
1553338_PM_at	NM_152608
1553340_PM_s_at	NM_054028
1553341_PM_at	NM_144639
1553344_PM_at	AY029205
1553346_PM_a_at	NM_020847
1553347_PM_s_at	NM_002235
1553348_PM_a_at	NM_147133
1553349_PM_at	NM_152641
1553350_PM_at	NM_152698
1553351_PM_at	NM_130901
1553352_PM_x_at	AF513360
1553354_PM_a_at	NM_153030
1553355_PM_at	NM_153019
1553356_PM_at	NM_053057
1553357_PM_at	NM_153016
1553359_PM_at	NM_024963
1553361_PM_x_at	NM_024963
1553362_PM_at	NM_173645
1553363_PM_at	NM_152554
1553364_PM_at	NM_173676
1553365_PM_at	NM_152317
1553366_PM_s_at	NM_144994
1553367_PM_a_at	NM_144613
1553369_PM_at	NM_173544
1553371_PM_at	NM_173641
1553372_PM_at	NM_152669
1553373_PM_at	NM_144625
1553374_PM_at	NM_018544
1553375_PM_at	NM_152733
1553376_PM_a_at	NM_144619
1553378_PM_a_at	NM_152781
1553380_PM_at	NM_152615
1553383_PM_at	NM_152432
1553385_PM_at	NM_032845
1553386_PM_at	NM_032793
1553387_PM_at	NM_138293
1553388_PM_at	NM_153036
1553389_PM_at	NM_152530
1553390_PM_at	NM_173681
1553391_PM_at	NM_152761
1553392_PM_at	NM_173503
1553394_PM_a_at	NM_003221
1553395_PM_a_at	AF497548
1553396_PM_a_at	NM_144719
1553397_PM_at	NM_144719
1553398_PM_at	NM_053012
1553399_PM_a_at	NM_152466
1553400_PM_a_at	NM_152466
1553401_PM_at	NM_147199
1553402_PM_a_at	NM_139011
1553403_PM_at	AB076563
1553405_PM_a_at	NM_033225
1553407_PM_at	NM_033044
1553409_PM_at	NM_025003
1553410_PM_a_at	AF395909
1553411_PM_s_at	NM_171999
1553412_PM_at	NM_032785
1553413_PM_at	NM_025011
1553415_PM_at	NM_139319
1553417_PM_at	NM_173580
1553418_PM_a_at	NM_138996
1553420_PM_at	NM_153031
1553422_PM_s_at	NM_145892
1553423_PM_a_at	NM_144682
1553424_PM_at	NM_173599
1553425_PM_at	NM_152498
1553426_PM_at	NM_173667
1553427_PM_at	NM_139055
1553428_PM_at	NM_173675
1553429_PM_at	NM_152575
1553430_PM_a_at	AY028913
1553432_PM_s_at	NM_170664
1553433_PM_at	NM_173550
1553434_PM_at	NM_173534
1553435_PM_at	NM_152469
1553436_PM_at	NM_173600
1553437_PM_at	NM_152375
1553438_PM_at	NM_173578
1553439_PM_at	NM_173692
1553440_PM_at	NM_153010
1553441_PM_at	NM_138994
1553442_PM_a_at	NM_138994
1553443_PM_at	NM_173684
1553444_PM_a_at	NM_173507
1553446_PM_at	NM_173671
1553447_PM_at	NM_152336
1553448_PM_at	NM_173673
1553449_PM_at	NM_173617
1553450_PM_s_at	NM_173617
1553451_PM_at	NM_173616
1553452_PM_at	NM_173597
1553453_PM_at	NM_130387
1553454_PM_at	NM_152364
1553456_PM_at	NM_152714
1553457_PM_at	NM_173697
1553458_PM_at	NM_144984
1553459_PM_at	NM_173646
1553460_PM_at	NM_173649
1553461_PM_at	NM_173696
1553462_PM_at	NM_152541
1553464_PM_at	NM_173682
1553465_PM_a_at	NM_145024
1553466_PM_at	NM_173695
1553467_PM_at	NM_152580
1553468_PM_at	NM_032821
1553470_PM_at	NM_173628
1553471_PM_at	NM_152462
1553472_PM_at	NM_153041
1553474_PM_at	AY172978
1553475_PM_at	NM_018582
1553478_PM_at	NM_173579
1553479_PM_at	NM_173633
